Iteration,Iter Time (s)
1496,0.6271
1497,0.6273
1498,0.6280
1499,0.6276
1500,0.6279
1501,0.6369
1502,0.6256
1503,0.6263
1504,0.6282
1505,0.6286
1506,0.6279
1507,0.6282
1508,0.6291
1509,0.6289
1510,0.6301
1511,0.6352
1512,0.6272
1513,0.6295
1514,0.6299
1515,0.6288
1516,0.6289
1517,0.6282
1518,0.6277
1519,0.6291
1520,0.6280
1521,0.6362
1522,0.6280
1523,0.6281
1524,0.6280
1525,0.6277
1526,0.6283
1527,0.6279
1528,0.6313
1529,0.6276
1530,0.6282
1531,0.6341
1532,0.6287
1533,0.6289
1534,0.6292
1535,0.6319
1536,0.6291
1537,0.6303
1538,0.6297
1539,0.6292
1540,0.6293
1541,0.6352
1542,0.6274
1543,0.6275
1544,0.6289
1545,0.6277
1546,0.6278
1547,0.6281
1548,0.6276
1549,0.6280
1550,0.6315
1551,0.6355
1552,0.6297
1553,0.6283
1554,0.6295
1555,0.6290
1556,0.6294
1557,0.6303
1558,0.6282
1559,0.6296
1560,0.6328
1561,0.6381
1562,0.6300
1563,0.6275
1564,0.6316
1565,0.6283
1566,0.6290
1567,0.6288
1568,0.6297
1569,0.6284
1570,0.6321
1571,0.6358
1572,0.6278
1573,0.6291
1574,0.6306
1575,0.6293
1576,0.6292
1577,0.6291
1578,0.6293
1579,0.5798
1580,0.4304
1581,0.4421
1582,0.4316
1583,0.4362
1584,0.4332
1585,0.4310
1586,0.4326
1587,0.4316
1588,0.4336
1589,0.4319
1590,0.4315
1591,0.4398
1592,0.4300
1593,0.4337
1594,0.4317
1595,0.4315
1596,0.4327
1597,0.4307
1598,0.4308
1599,0.4311
1600,0.4333
1601,0.4462
1602,0.4320
1603,0.4303
1604,0.4329
1605,0.4312
1606,0.4311
1607,0.4312
1608,0.4326
1609,0.4318
1610,0.4329
1611,0.4399
1612,0.4303
1613,0.4323
1614,0.4314
1615,0.4333
1616,0.4317
1617,0.4312
1618,0.4315
1619,0.4344
1620,0.4319
1621,0.4408
1622,0.4313
1623,0.4305
1624,0.4333
1625,0.4315
1626,0.4325
1627,0.4315
1628,0.4320
1629,0.4353
1630,0.4334
1631,0.4407
1632,0.4309
1633,0.4311
1634,0.4336
1635,0.4318
1636,0.4326
1637,0.4326
1638,0.4355
1639,0.4332
1640,0.4354
1641,0.4415
1642,0.4307
1643,0.4305
1644,0.4307
1645,0.4314
1646,0.4310
1647,0.4311
1648,0.4305
1649,0.4306
1650,0.4318
1651,0.4389
1652,0.4287
1653,0.4302
